Cfop;Descricao;IsGrupo;Direcao;Escopo;Categoria
1000;ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO;1;Entrada;MesmoEstado;
1100;COMPRAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS;1;Entrada;MesmoEstado;
1101;Compra para industrialização ou produção rural;0;Entrada;MesmoEstado;Compra
1102;Compra para comercialização;0;Entrada;MesmoEstado;Compra
1111;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial;0;Entrada;MesmoEstado;Compra
1113;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil;0;Entrada;MesmoEstado;Compra
1116;Compra para industrialização ou produção rural originada de encomenda para recebimento futuro;0;Entrada;MesmoEstado;Compra
1117;Compra para comercialização originada de encomenda para recebimento futuro;0;Entrada;MesmoEstado;Compra
1118;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem;0;Entrada;MesmoEstado;Compra
1120;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente;0;Entrada;MesmoEstado;Compra
1121;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente;0;Entrada;MesmoEstado;Compra
1122;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente;0;Entrada;MesmoEstado;Compra
1124;Industrialização efetuada por outra empresa;0;Entrada;MesmoEstado;Industrializacao
1125;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria;0;Entrada;MesmoEstado;Industrializacao
1126;compras para utilização na prestação de serviços sujeitas ao ICMS;0;Entrada;MesmoEstado;Compra
1128;compras para utilização na prestação de serviços sujeitas ao ISSQN;0;Entrada;MesmoEstado;Compra
1150;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS;1;Entrada;MesmoEstado;
1151;Transferência para industrialização ou produção rural;0;Entrada;MesmoEstado;Transferencia
1152;Transferência para comercialização;0;Entrada;MesmoEstado;Transferencia
1153;Transferência de energia elétrica para distribuição;0;Entrada;MesmoEstado;Transferencia
1154;Transferência para utilização na prestação de serviço;0;Entrada;MesmoEstado;Transferencia
1200;DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA, DE TERCEIROS OU ANULAÇÕES DE VALORES;1;Entrada;MesmoEstado;
1201;Devolução de venda de produção do estabelecimento;0;Entrada;MesmoEstado;Devolucao
1202;Devolução de venda de mercadoria adquirida ou recebida de terceiros;0;Entrada;MesmoEstado;Devolucao
1203;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;0;Entrada;MesmoEstado;Devolucao
1204;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio;0;Entrada;MesmoEstado;Devolucao
1205;Anulação de valor relativo à prestação de serviço de comunicação;0;Entrada;MesmoEstado;Anulacao
1206;Anulação de valor relativo à prestação de serviço de transporte;0;Entrada;MesmoEstado;Anulacao
1207;Anulação de valor relativo à venda de energia elétrica;0;Entrada;MesmoEstado;Anulacao
1208;Devolução de produção do estabelecimento, remetida em transferência;0;Entrada;MesmoEstado;Devolucao
1209;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência;0;Entrada;MesmoEstado;Devolucao
1250;COMPRAS DE ENERGIA ELÉTRICA;1;Entrada;MesmoEstado;
1251;Compra de energia elétrica para distribuição ou comercialização;0;Entrada;MesmoEstado;Compra
1252;Compra de energia elétrica por estabelecimento industrial;0;Entrada;MesmoEstado;Compra
1253;Compra de energia elétrica por estabelecimento comercial;0;Entrada;MesmoEstado;Compra
1254;Compra de energia elétrica por estabelecimento prestador de serviço de transporte;0;Entrada;MesmoEstado;Compra
1255;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação;0;Entrada;MesmoEstado;Compra
1256;Compra de energia elétrica por estabelecimento de produtor rural;0;Entrada;MesmoEstado;Compra
1257;Compra de energia elétrica para consumo por demanda contratada;0;Entrada;MesmoEstado;Compra
1300;AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO;1;Entrada;MesmoEstado;
1301;Aquisição de serviço de comunicação para execução de serviço da mesma natureza;0;Entrada;MesmoEstado;Aquisicao
1302;Aquisição de serviço de comunicação por estabelecimento industrial;0;Entrada;MesmoEstado;Aquisicao
1303;Aquisição de serviço de comunicação por estabelecimento comercial;0;Entrada;MesmoEstado;Aquisicao
1304;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte;0;Entrada;MesmoEstado;Aquisicao
1305;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica;0;Entrada;MesmoEstado;Aquisicao
1306;Aquisição de serviço de comunicação por estabelecimento de produtor rural;0;Entrada;MesmoEstado;Aquisicao
1350;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE;1;Entrada;MesmoEstado;
1351;Aquisição de serviço de transporte para execução de serviço da mesma natureza;0;Entrada;MesmoEstado;Aquisicao
1352;Aquisição de serviço de transporte por estabelecimento industrial;0;Entrada;MesmoEstado;Aquisicao
1353;Aquisição de serviço de transporte por estabelecimento comercial;0;Entrada;MesmoEstado;Aquisicao
1354;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação;0;Entrada;MesmoEstado;Aquisicao
1355;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica;0;Entrada;MesmoEstado;Aquisicao
1356;Aquisição de serviço de transporte por estabelecimento de produtor rural;0;Entrada;MesmoEstado;Aquisicao
1360;Aquisição de serviço de transporte por contribuinte substituto em relação ao serviço de transporte;0;Entrada;MesmoEstado;Aquisicao
1400;ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA;1;Entrada;MesmoEstado;
1401;Compra para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Compra
1403;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Compra
1406;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Compra
1407;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Compra
1408;Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Transferencia
1409;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária;0;Entrada;MesmoEstado;Transferencia
1410;Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária;0;Entrada;MesmoEstado;Devolucao
